[backend] INFO:     Started server process [8140]
INFO:     Waiting for application startup.
[backend] [Config] LLM provider: deepseek
[backend] 2026-07-09 16:42:57 | main                     | INFO     | [lifespan] logging configured level=INFO json=False rotation=H
[backend] 2026-07-09 16:42:57 | storage.sqlite_client    | INFO     | [storage] connected e2e.db
[backend] 2026-07-09 16:42:57 | storage.sqlite_client    | INFO     | [storage] schema initialized
[backend] 2026-07-09 16:42:57 | main                     | INFO     | [lifespan] db=data/e2e.db ready
[backend] 2026-07-09 16:42:57 | repo.world_repo          | INFO     | [repo] delete id=mock_world
[backend] 2026-07-09 16:42:57 | repo.event_repo          | INFO     | [repo] deleted events for world=mock_world
[backend] 2026-07-09 16:42:57 | repo.world_repo          | INFO     | [repo] create id=mock_world
[backend] 2026-07-09 16:42:57 | main                     | INFO     | [lifespan] mock data seeded into data/e2e.db
[backend] 2026-07-09 16:43:03 | storage.chroma_client    | INFO     | [chroma] using default embedding function
[backend] 2026-07-09 16:43:06 | repo.knowledge_repo      | INFO     | [knowledge] indexed pack=forgotten_realms chunks=32
[backend] 2026-07-09 16:43:06 | orchestrator             | INFO     | [orchestrator] init
[backend] 2026-07-09 16:43:06 | graph.graph              | INFO     | [graph] building tick graph
[backend] 2026-07-09 16:43:06 | graph.checkpoints        | INFO     | [graph] checkpointer type=memory
[backend] 2026-07-09 16:43:06 | main                     | INFO     | [lifespan] orchestrator ready
[backend] 2026-07-09 16:43:06 | uvicorn.error            | INFO     | Application startup complete.
[backend] 2026-07-09 16:43:06 | uvicorn.error            | INFO     | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
[backend] 2026-07-09 16:43:06 | uvicorn.access           | INFO     | 127.0.0.1:61124 - "GET /health HTTP/1.1" 200
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:06 | uvicorn.access           | INFO     | 127.0.0.1:61126 - "GET /api/world/mock_world/state HTTP/1.1" 200
[e2e setup] backend ready

Running 3 tests using 1 worker

[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:07 | uvicorn.access           | INFO     | 127.0.0.1:58091 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:07 | repo.event_repo          | INFO     | [repo] deleted events for world=mock_world
[backend] 2026-07-09 16:43:07 | graph.checkpoints        | INFO     | [graph] checkpointer type=memory
[backend] 2026-07-09 16:43:07 | orchestrator             | INFO     | [orchestrator] reset complete for mock_world
[backend] 2026-07-09 16:43:07 | api                      | INFO     | [api] world.reset world=mock_world
[backend] 2026-07-09 16:43:07 | uvicorn.access           | INFO     | 127.0.0.1:58093 - "POST /api/world/mock_world/reset HTTP/1.1" 200
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:07 | uvicorn.access           | INFO     | 127.0.0.1:58096 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:07 | uvicorn.access           | INFO     | 127.0.0.1:58099 - "GET /api/world/mock_world/loop/status HTTP/1.1" 200
[backend] 2026-07-09 16:43:08 | api                      | INFO     | [api] tick.batch world=mock_world:1
[backend] 2026-07-09 16:43:08 | tick_runner              | INFO     | [batch] Started 1 ticks for world mock_world
[backend] 2026-07-09 16:43:08 | uvicorn.access           | INFO     | 127.0.0.1:58101 - "POST /api/world/mock_world/tick/batch/1 HTTP/1.1" 200
[backend] 2026-07-09 16:43:09 | engine.dm.dm_engine      | INFO     | [engine] dm_create tick=1 world=mock_world
2026-07-09 16:43:09 | uvicorn.access           | INFO     | 127.0.0.1:58103 - "GET /api/world/mock_world/events?since_tick=0 HTTP/1.1" 200
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] dm.create tick=1 946.5ms
[backend] [Config] LLM provider: deepseek
2026-07-09 16:43:09 | performance              | INFO     | [performance] data.load_world tick=1 7.3ms
[backend] 2026-07-09 16:43:09 | uvicorn.access           | INFO     | 127.0.0.1:58106 - "GET /api/world/mock_world/state HTTP/1.1" 200
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] data.load_scene tick=1 0.4ms
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] data.load_actors tick=1 0.5ms
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] data.load_pcs tick=1 0.4ms
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] data.load_scene_objects tick=1 0.8ms
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] tick_init.assign_positions tick=1 0.1ms
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] tick_init.dm_create_event tick=1 0.0ms
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] tick_init.scene_setup_snapshot tick=1 0.1ms
[backend] 2026-07-09 16:43:09 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=cleric
[backend] 2026-07-09 16:43:09 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=fighter
2026-07-09 16:43:09 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=rogue
2026-07-09 16:43:09 | engine.decision.decision_engine | INFO     | [engine] decide tick=1 pc=wizard
2026-07-09 16:43:09 | performance              | INFO     | [performance] pc.decide tick=1 9.9ms
[backend] 2026-07-09 16:43:09 | engine.talk.talk_engine  | INFO     | [engine] cleric ↔ merchant : 4 turns
[backend] 2026-07-09 16:43:09 | engine.explore.explore_engine | INFO     | [engine] fighter explore start pos=(19,19) scene=village_elderwood
[backend] 2026-07-09 16:43:09 | engine.explore.explore_engine | INFO     | [engine] fighter explore: (19,19) → (10,12) | 吧台后方的木地板有一块微微翘起，下面似乎藏着一张泛黄的羊皮纸
[backend] 2026-07-09 16:43:09 | engine.explore.explore_engine | INFO     | [engine] rogue explore start pos=(20,19) scene=village_elderwood
[backend] 2026-07-09 16:43:09 | engine.explore.explore_engine | INFO     | [engine] rogue explore: (20,19) → (12,8) | 窗台上摆着一个积满灰尘的陶罐，罐底隐约可见缕刻的纹路——像是
[backend] 2026-07-09 16:43:09 | engine.talk.talk_engine  | INFO     | [engine] wizard ↔ guard : 4 turns
[backend] 2026-07-09 16:43:09 | performance              | INFO     | [performance] pc.act tick=1 20.2ms
[backend] 2026-07-09 16:43:09 | service.event_service    | INFO     | [service] flushed events tick=1 count=10
[backend] 2026-07-09 16:43:09 | uvicorn.access           | INFO     | 127.0.0.1:58108 - "POST /api/world/mock_world/loop/pause HTTP/1.1" 200
[backend] 2026-07-09 16:43:09 | uvicorn.access           | INFO     | 127.0.0.1:55080 - "GET /api/metrics/summary?world_id=mock_world&last_n=100 HTTP/1.1" 200
